discipline	informationElement	level	identifier
Biology	CollectingAgent	MIDS2	Biology_CollectingAgent_MIDS2
Biology	CollectingNumber	MIDS2	Biology_CollectingNumber_MIDS2
Biology	CollectorID	MIDS3	Biology_CollectorID_MIDS3
Biology	DateCollected	MIDS2	Biology_DateCollected_MIDS2
Biology	GeographicalLocalityID	MIDS3	Biology_GeographicalLocalityID_MIDS3
Biology	IdentifiedByID	MIDS3	Biology_IdentifiedByID_MIDS3
Biology	IndentifiedAsID	MIDS3	Biology_IndentifiedAsID_MIDS3
Biology	InstitutionID	MIDS3	Biology_InstitutionID_MIDS3
Biology	License	MIDS1	Biology_License_MIDS1
Biology	MediaID	MIDS3	Biology_MediaID_MIDS3
Biology	Media	MIDS2	Biology_Media_MIDS2
Biology	Modified	MIDS1	Biology_Modified_MIDS1
Biology	Name	MIDS1	Biology_Name_MIDS1
Biology	ObjectType	MIDS1	Biology_ObjectType_MIDS1
Biology	Organization	MIDS0	Biology_Organization_MIDS0
Biology	PhysicalSpecimenID	MIDS0	Biology_PhysicalSpecimenID_MIDS0
Biology	QualitativeLocation	MIDS2	Biology_QualitativeLocation_MIDS2
Biology	QuantitativeLocation	MIDS2	Biology_QuantitativeLocation_MIDS2
Biology	TypeStatus	MIDS2	Biology_TypeStatus_MIDS2
