discipline	informationElement	level	identifier	
Biology	CollectingAgent	MIDS2	Biology_CollectingAgent_MIDS2	
Biology	CollectingNumber	MIDS2	Biology_CollectingNumber_MIDS2	
Biology	CollectorID	MIDS3	Biology_CollectorID_MIDS3	
Biology	DateCollected	MIDS2	Biology_DateCollected_MIDS2	
Biology	GeographicalLocalityID	MIDS3	Biology_GeographicalLocalityID_MIDS3	
Biology	IdentifiedByID	MIDS3	Biology_IdentifiedByID_MIDS3	
Biology	IndentifiedAsID	MIDS3	Biology_IndentifiedAsID_MIDS3	
Biology	InstitutionID	MIDS3	Biology_InstitutionID_MIDS3	
Biology	License	MIDS1	Biology_License_MIDS1	
Biology	MediaID	MIDS3	Biology_MediaID_MIDS3	
Biology	Media	MIDS2	Biology_Media_MIDS2	
Biology	Modified	MIDS1	Biology_Modified_MIDS1	
Biology	Name	MIDS1	Biology_Name_MIDS1	
Biology	ObjectType	MIDS1	Biology_ObjectType_MIDS1	
Biology	Organization	MIDS0	Biology_Organization_MIDS0	
Biology	PhysicalSpecimenID	MIDS0	Biology_PhysicalSpecimenID_MIDS0	
Biology	QualitativeLocation	MIDS2	Biology_QualitativeLocation_MIDS2	
Biology	QuantitativeLocation	MIDS2	Biology_QuantitativeLocation_MIDS2	
Biology	TypeStatus	MIDS2	Biology_TypeStatus_MIDS2	
Geology	ChronometricAge	MIDS3	Geology_ChronometricAge_MIDS3	
Geology	CollectorID	MIDS3	Geology_CollectorID_MIDS3	
Geology	GeographicalLocalityID	MIDS3	Geology_GeographicalLocalityID_MIDS3	
Geology	GeologicalContext	MIDS2	Geology_GeologicalContext_MIDS2	
Geology	IdentifiedByID	MIDS3	Geology_IdentifiedByID_MIDS3	
Geology	IndentifiedAsID	MIDS3	Geology_IndentifiedAsID_MIDS3	
Geology	InstitutionID	MIDS3	Geology_InstitutionID_MIDS3	
Geology	License	MIDS1	Geology_License_MIDS1	
Geology	Mass	MIDS3	Geology_Mass_MIDS3	
Geology	MediaID	MIDS3	Geology_MediaID_MIDS3	
Geology	Modified	MIDS1	Geology_Modified_MIDS1	
Geology	Name	MIDS1	Geology_Name_MIDS1	
Geology	ObjectType	MIDS1	Geology_ObjectType_MIDS1	
Geology	Organization	MIDS0	Geology_Organization_MIDS0	
Geology	PhysicalSpecimenID	MIDS0	Geology_PhysicalSpecimenID_MIDS0	
Geology	QualitativeLocation	MIDS2	Geology_QualitativeLocation_MIDS2	
Geology	QuantitativeLocation	MIDS2	Geology_QuantitativeLocation_MIDS2	
Geology	StratigraphicContext	MIDS2	Geology_StratigraphicContext_MIDS2	
Geology	TypeStatus	MIDS2	Geology_TypeStatus_MIDS2	
Paleontology	Chronostratigraphy	MIDS1	Paleontology_Chronostratigraphy_MIDS1	
Paleontology	CollectorID	MIDS3	Paleontology_CollectorID_MIDS3	
Paleontology	GeographicalLocalityID	MIDS3	Paleontology_GeographicalLocalityID_MIDS3	
Paleontology	IdentifiedByID	MIDS3	Paleontology_IdentifiedByID_MIDS3	
Paleontology	IndentifiedAsID	MIDS3	Paleontology_IndentifiedAsID_MIDS3	
Paleontology	InstitutionID	MIDS3	Paleontology_InstitutionID_MIDS3	
Paleontology	License	MIDS1	Paleontology_License_MIDS1	
Paleontology	MediaID	MIDS3	Paleontology_MediaID_MIDS3	
Paleontology	Modified	MIDS1	Paleontology_Modified_MIDS1	
Paleontology	Name	MIDS1	Paleontology_Name_MIDS1	
Paleontology	ObjectType	MIDS1	Paleontology_ObjectType_MIDS1	
Paleontology	Organization	MIDS0	Paleontology_Organization_MIDS0	
Paleontology	PhysicalSpecimenID	MIDS0	Paleontology_PhysicalSpecimenID_MIDS0	
Paleontology	QualitativeLocation	MIDS2	Paleontology_QualitativeLocation_MIDS2	
Paleontology	QuantitativeLocation	MIDS2	Paleontology_QuantitativeLocation_MIDS2	
Paleontology	StratigraphicContext	MIDS2	Paleontology_StratigraphicContext_MIDS2	
Paleontology	TypeStatus	MIDS2	Paleontology_TypeStatus_MIDS2	
