subject_id	subject_category	predicate_id	object_id	object_category	mapping_justification	author_id	author_label	creator_id	creator_label	mapping_set_group	subject_type	object_type	object_source	mapping_date	object_match_field	comment
mids:PhysicalSpecimenID	mids0	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/UnitID	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitID	2024-06-24		
mids:PhysicalSpecimenID	mids0	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/UnitGUID	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1253	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitGUID	2024-06-24		
mids:Organization	mids0	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/SourceInstitutionID	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1254	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/SourceInstitutionID	2024-06-24		
mids:Organization	mids0	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Unit-Owner-OrganisationGUID	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1255	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID	2024-06-24		
mids:Organization	mids0	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/DataSet-Owner-OrganisationGUID	abcd:DataSet	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1256	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID	2024-06-24		
mids:Name	mids1	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/TaxonIdentified-FullScientificNameString	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1257	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString	2024-06-24		
mids:Name	mids1	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/TaxonIdentified-InformalNameString	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1258	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString	2024-06-24		
mids:Name	mids1	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/TaxonIdentified-NamedIndividual	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1259	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual	2024-06-24		
mids:SpecimenType	mids1	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/RecordBasis	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1260	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/RecordBasis	2024-06-24		
mids:ObjectType	mids1	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/KindOfUnit	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1261	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/KindOfUnit	2024-06-24		
mids:License	mids1	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/Unit-License-Text	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1262	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text	2024-06-26		
mids:License	mids1	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Unit-License-URI	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1263	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI	2024-06-26		
mids:License	mids1	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/DataSet-License-Text	abcd:DataSet	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1264	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text	2024-06-26		
mids:License	mids1	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/DataSet-License-URI	abcd:DataSet	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1265	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI	2024-06-26		
mids:Modified	mids1	http://www.w3.org/2004/02/skos/core#exactMatch	http://rs.tdwg.org/abcd2/terms/DataSet-DateModified	abcd:DataSet	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1266	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Metadata/RevisionData/DateModified	2024-06-24		
mids:Modified	mids1	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Unit-DateLastEdited	abcd:Unit	semapv:HumanCuration	https://orcid.org/0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1267	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/DateLastEdited	2024-06-24		alternative modified date on record level
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-LocalityText	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1268	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/LocalityText	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-Country	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1269	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Country	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Biotope	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1270	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Biotope	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-NamedArea-AreaName	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1271	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-NearNamedPlace	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1272	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail	2024-06-26		
mids:QualitativeLocation	mids2	http://www.w3.org/2004/02/skos/core#narrowMatch	http://rs.tdwg.org/abcd2/terms/Gathering-AreaDetail	abcd:Unit	semapv:HumanCuration	https://orcid.org/0009-0007-3961-8923|https://orcid.org/0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1273	Mathias Dillen	all	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace	2024-06-26		
